NOTES: I need the things marked with an X,,,
name,Cart,Box,Instructions
10-Yard Fight,,,
1942,,x,x
1943: The Battle of Midway,,,
3D WorldRunner,,x,x
720,,x,x
8 Eyes,,x,x
A Boy and His Blob Trouble on Blobolonia,,,
A Nightmare on Elm Street,,,
Abadox,,x,x
Action 52,,,x
Addams Family,,x,x
Addams Family Pugsley's Scavenger Hunt,x,x,x
Advanced Dungeons & Dragons Dragon Strike,x,x,x
Advanced Dungeons & Dragons Heroes of the Lance,,x,x
Advanced Dungeons & Dragons Hillsfar,x,x,x
Advanced Dungeons & Dragons Pool of Radiance,x,x,x
Adventure Island,,,
Adventure Island II,,x,
Adventure Island III,x,x,x
Adventures in the Magic Kingdom,,x,
Adventures of Bayou Billy,,x,x
Adventures of Captain Comic,,,
Adventures of Dino Riki,,x,
Adventures of Lolo,,x,x
Adventures of Lolo 2,,x,x
Adventures of Lolo 3,,x,
Adventures of Rad Gravity,,x,x
Adventures of Tom Sawyer,,x,
After Burner,,x,x
Air Fortress,,x,x
Airwolf,,x,x
Al Unser Turbo Racing,,x,x
Aladdin Deck Enhancer,,,
Alfred Chicken,x,x,x
Alien 3,,x,x
Alien Syndrome,x,x,x
All-Pro Basketball,,x,x
Alpha Mission,,x,x
Amagon,,,
American Gladiators,,x,x
Anticipation,,x,x
Arch Rivals,,x,x
Archon,,x,x
Arkanoid,,x,x
Arkista's Ring,x,x,x
Astyanax,,x,x
Athena,,x,x
Athletic World,,x,x
Attack of the Killer Tomatoes,x,x,x
Baby Boomer,x,x,x
Back to the Future,,x,
Back to the Future II and III,,,
Bad Dudes,,x,
Bad News Baseball,,x,x
Bad Street Brawler,,,x
Balloon Fight,,,
Bandai Golf Challenge Pebble Beach,,,
Bandit Kings of Ancient China,x,x,x
Barbie,,,
Bard's Tale,,,
Barker Bill's Trick Shooting,,x,x
Baseball,,,
Baseball Simulator 1.000,x,x,x
Baseball Stars,,x,x
Baseball Stars 2,x,x,x
Bases Loaded,,,
Bases Loaded 2 Second Season,,x,
Bases Loaded 3,,x,x
Bases Loaded 4,x,x,x
Batman Returns,x,x,x
Batman The Video Game,,,
Batman: Return of the Joker,x,x,x
Battle Chess,,x,x
Battle of Olympus,x,x,x
Battleship,x,x,x
Battletank,,,x
Battletoads,,x,x
Battletoads and Double Dragon The Ultimate Team,x,x,x
Bee 52,x,x,x
BeetleJuice,,x,x
Best of the Best Championship Karate,x,x,x
Bible Adventures,,x,x
Bible Buffet,x,x,x
Big Nose Freaks Out,,,
Big Nose Freaks Out [Aladdin],,,
Big Nose the Caveman,,x,x
Bigfoot,,x,x
Bill Elliott's NASCAR Challenge,,x,x
Bill and Ted's Excellent Video Game,,x,x
Bionic Commando,,x,x
Black Bass,,x,x
Blackjack,x,x,x
Blades of Steel,,x,x
Blaster Master,,x,x
Blue Marlin,,,
Blues Brothers,x,x,x
Bo Jackson Baseball,,x,x
Bomberman,,,
Bomberman II,x,x,x
Bonk's Adventure,,x,x
Boulder Dash,,,
Bram Stoker's Dracula,x,x,x
Break Time The National Pool Tour,,x,x
BreakThru,x,x,x
Bubble Bath Babes,,,
Bubble Bobble,,x,
Bubble Bobble Part 2,x,x,x
Bucky O'Hare,,,
Bugs Bunny Birthday Blowout,,,
Bugs Bunny Crazy Castle,,,
Bump 'n' Jump,,x,x
Burai Fighter,,x,x
Burgertime,,x,x
Cabal,x,x,x
Caesar's Palace,,,
California Games,x,x,x
Caltron 6-in-1,x,x,x
Captain America and the Avengers,,x,x
Captain Planet and the Planeteers,,x,x
Captain Skyhawk,,,
Casino Kid,,,
Casino Kid II,x,x,x
Castelian,x,x,x
Castle of Deceit,x,x,x
Castle of Dragon,x,x,x
Castlequest,,,
Castlevania,,x,x
Castlevania II Simon's Quest,,x,x
Castlevania III Dracula's Curse,,x,
Caveman Games,,x,x
Challenge of the Dragon,x,x,x
Championship Bowling,,x,x
Championship Pool,x,x,x
Cheetahmen II,x,x,x
Chessmaster,,x,
Chiller,x,x,x
Chip and Dale Rescue Rangers,,x,x
Chip and Dale Rescue Rangers 2,x,x,x
Chubby Cherub,,x,x
Circus Caper,,x,x
City Connection,,x,x
Clash at Demonhead,,x,x
Classic Concentration,,,
Cleaning Kit,,,
Cliffhanger,x,x,x
Clu Clu Land,,x,x
Cobra Command,,x,x
Cobra Triangle,,x,x
Code Name Viper,,x,x
Color A Dinosaur,,x,x
Commando,,x,
Conan the Mysteries of Time,x,x,x
Conflict,,x,x
Conquest of the Crystal Palace,,x,x
Contra,,x,x
Contra Force,x,x,x
Cool World,x,x,x
Cowboy Kid,x,x,x
Crash 'n' the Boys: Street Challenge,x,x,x
Crystal Mines,x,x,x
Crystalis,x,x,x
Cyberball,x,x,x
Cybernoid The Fighting Machine,,x,
Cyberstadium Series Base Wars,,,
Dance Aerobics,,x,x
Danny Sullivan's Indy Heat,x,x,x
Darkman,,x,x
Darkwing Duck,,x,x
Dash Galaxy in the Alien Asylum,,,
Day Dreamin' Davey,x,x,x
Days Of Thunder,,,
Deadly Towers,,x,x
Death Race,,x,x
Deathbots,,,
Defender II,,,
Defender of the Crown,,x,
Defenders of Dynatron City,x,x,x
Deja Vu,,,
Demon Sword,,x,x
Desert Commander,,,
Destination Earthstar,,x,
Destiny of an Emperor,,x,x
Dick Tracy,,x,x
Die Hard,x,x,x
Dig Dug II: Trouble in Paradise,,x,
Digger T Rock,,,x
Dirty Harry,,x,x
Dizzy the Adventurer,x,x,x
