Title,Loose Price,CIB Price,New Price,
Super Mario Bros 3,$14.32,$37.76,$182.58
Legend of Zelda,$19.95,$58.05,$497.49
Nintendo NES Console,$56.22,$71.20,$656.11
Family Fun Fitness Stadium Events,$9083.36,$11513.19,$25500.28
Little Samson,$1099.50,$2650.00,$4550.00
Nintendo World Championship Gold,$22426.70,,
Contra,$31.67,$78.42,$541.50
Super Mario Bros 2,$16.49,$33.38,$350.58
Zelda II The Adventure of Link,$14.97,$57.33,$214.29
Mike Tyson's Punch-Out,$24.28,$76.74,$712.00
Mega Man,$65.22,$189.73,$1510.00
Teenage Mutant Ninja Turtles,$6.55,$27.26,$169.73
Nintendo NES Classic Edition,$102.73,$129.00,$145.51
Super Mario Bros,$14.31,$38.17,$414.51
Duck Tales 2,$128.74,$342.50,$974.75
Zelda Test Cartridge,$1699.99,,
Metroid,$16.11,$62.97,$218.64
Final Fantasy,$16.99,$85.00,$142.26
Super Mario Bros and Duck Hunt,$5.25,$19.52,$54.64
Mega Man 2,$21.07,$77.50,$697.73
Bubble Bobble Part 2,$262.50,$628.50,$5299.99
Nintendo World Championship,$76.99,,$10606.97
Contra Force,$86.78,$258.11,$3000.00
Super C,$17.30,$62.49,$267.98
Castlevania,$15.00,$79.99,$338.88
Mega Man 5,$80.55,$218.77,$673.98
Teenage Mutant Ninja Turtles III The Manhattan Project,$26.00,$99.99,$329.08
Top Loading Nintendo NES Console,$124.99,$298.99,$560.54
Castlevania III Dracula's Curse,$26.56,$91.18,$305.97
Teenage Mutant Ninja Turtles II,$11.18,$42.57,$243.83
Chip and Dale Rescue Rangers 2,$170.70,$369.95,$1183.94
Panic Restaurant,$415.00,$1024.99,$3400.00
Mega Man 3,$16.33,$68.01,$421.89
Bucky O'Hare,$106.00,$299.95,$647.96
Flintstones Surprise at Dinosaur Peak,$699.00,$2300.00,$6399.97
Friday the 13th,$9.24,$47.97,$127.49
Battletoads,$20.11,$57.77,$305.00
Snow Brothers,$168.49,$520.51,$3199.99
Dragon Warrior,$7.00,$30.50,$87.25
Duck Tales,$19.99,$56.49,$441.54
Bubble Bath Babes,$1195.00,$1748.58,
Tetris,$6.89,$15.00,$54.06
Teenage Mutant Ninja Turtles Tournament Fighters,$121.96,$443.04,$1075.75
Castlevania II Simon's Quest,$10.64,$45.50,$255.99
Zombie Nation,$296.41,$502.72,$895.06
Donkey Kong Classics,$18.54,$30.00,$281.00
Mega Man 6,$39.32,$106.58,$363.15
Bonk's Adventure,$462.50,$905.01,$2799.00
Duck Tales Gold Cartridge,$1200.00,$1275.00,$1415.15
10-Yard Fight,$3.40,$28.30,$385.64
Metal Storm,$82.23,$319.91,$628.85
Kirby's Adventure,$19.99,$41.03,$67.89
Cheetahmen II,$1290.64,$1436.87,$1465.62
Dragon Fighter,$195.25,$458.76,$550.00
Double Dragon,$11.00,$36.99,$449.98
Super Mario Bros Duck Hunt World Class Track Meet,$6.45,$10.00,$26.16
Dragon Warrior IV,$65.51,$149.88,$700.00
Bubble Bobble,$16.18,$55.00,$350.00
Nintendo Campus Challenge 1991,$20100.00,,
Mario Bros,$17.99,$82.25,$808.70
Mickey Mousecapade,$5.00,$17.96,$149.99
Battletoads and Double Dragon The Ultimate Team,$71.06,$242.45,$500.00
Ninja Gaiden II The Dark Sword of Chaos,$7.62,$37.99,$254.07
Mega Man 4,$29.36,$88.96,$355.18
Chip and Dale Rescue Rangers,$13.54,$52.25,$319.35
Dr. Mario,$5.68,$16.60,$66.27
Ninja Gaiden,$10.00,$52.46,$239.33
Mighty Final Fight,$162.99,$440.07,$621.44
Double Dragon II,$11.60,$33.10,$199.99
A Nightmare on Elm Street,$38.49,$123.50,$231.75
Cowboy Kid,$223.56,$415.69,$676.00
Power Blade 2,$389.40,$960.46,$3161.33
Batman The Video Game,$8.07,$29.24,$176.52
Tecmo Super Bowl,$19.98,$30.25,$161.63
Donkey Kong,$28.02,$147.50,$267.26
Game Genie Top Loader Adaptor,$200.00,$397.37,$1271.59
Gargoyle's Quest II The Demon Darkness,$75.00,$179.63,$407.70
Action 52,$177.50,$350.00,$479.59
Felix the Cat,$66.00,$119.19,$335.00
Excitebike,$7.57,$36.22,$599.00
Ninja Gaiden III Ancient Ship of Doom,$53.12,$151.00,$449.00
NES Advantage Controller,$17.43,$34.99,$60.74
Kid Klown in Night Mayor World,$215.75,$618.13,$1448.30
Darkwing Duck,$42.01,$102.84,$334.41
Jetsons Cogswell's Caper,$145.99,$312.99,$1002.45
Monster Party,$14.60,$52.35,$145.00
Ghosts 'n Goblins,$13.17,$46.74,$710.00
Legacy of the Wizard,$5.98,$15.92,$56.06
River City Ransom,$30.55,$70.01,$162.68
Metal Gear,$10.00,$48.75,$134.99
Paperboy,$13.25,$29.96,$235.72
ROB the Robot,$43.99,$149.99,$479.97
Shatterhand,$46.50,$132.13,$183.08
Kid Icarus,$19.53,$58.95,$320.00
Dragon Warrior III,$58.95,$119.99,$851.03
Star Tropics,$9.97,$26.00,$67.47
Nintendo NES Action Set Console,$80.50,$192.81,$461.00
Hot Slots,$789.47,$1200.00,$2040.55
Kung Fu,$7.97,$28.49,$208.84
Adventure Island,$10.71,$29.24,$173.66
Gauntlet,$8.22,$19.99,$54.91
Top Gun,$4.48,$10.03,$133.85
Faxanadu,$7.28,$26.95,$151.11
Die Hard,$96.32,$188.04,$288.38
RC Pro-AM II,$62.16,$167.84,$458.69
Myriad 6-in-1,$1197.41,$1478.59,$3000.00
Game Genie,$15.15,$30.56,$59.00
